id,source_account,destination_account,amount_minor,currency_src,currency_dst,timestamp,description
TX-000072,ACC_000155,ACC_000641,4806727,IDR,SGD,2025-09-14T15:11:26.429229+00:00Z,poc-tx
TX-000073,ACC_000692,ACC_000928,4238075,IDR,IDR,2025-09-15T05:21:52.429257+00:00Z,poc-tx
TX-000074,ACC_000271,ACC_000936,47603,SGD,SGD,2025-09-16T02:57:37.429271+00:00Z,poc-tx
TX-000075,ACC_000198,ACC_000706,2643233,IDR,SGD,2025-09-12T17:35:35.429283+00:00Z,poc-tx
TX-000076,ACC_000084,ACC_000307,128228,IDR,USD,2025-09-15T17:23:50.429292+00:00Z,poc-tx
TX-000077,ACC_000076,ACC_000785,1954946,IDR,IDR,2025-09-10T15:11:14.429301+00:00Z,poc-tx
TX-000078,ACC_000236,ACC_000896,1630428,IDR,IDR,2025-09-13T16:17:01.429312+00:00Z,poc-tx
TX-000079,ACC_000466,ACC_000955,185497,USD,SGD,2025-09-10T21:40:05.429329+00:00Z,poc-tx
TX-000080,ACC_000426,ACC_000125,51405,SGD,SGD,2025-09-13T02:26:25.429345+00:00Z,poc-tx
TX-000081,ACC_000599,ACC_000980,71707,SGD,SGD,2025-09-14T05:17:01.429364+00:00Z,poc-tx
TX-000082,ACC_000520,ACC_000895,581,SGD,SGD,2025-09-15T04:30:07.429381+00:00Z,poc-tx
TX-000083,ACC_000077,ACC_000849,169556,USD,USD,2025-09-15T10:20:58.429389+00:00Z,poc-tx
TX-000084,ACC_000172,ACC_000271,134203,SGD,SGD,2025-09-11T09:38:11.429399+00:00Z,poc-tx
TX-000085,ACC_000741,ACC_000423,56788,SGD,SGD,2025-09-15T07:20:09.429421+00:00Z,poc-tx
TX-000086,ACC_000629,ACC_000545,199541,USD,USD,2025-09-13T00:30:41.429440+00:00Z,poc-tx
TX-000087,ACC_000362,ACC_000207,39965,USD,USD,2025-09-13T18:44:45.429454+00:00Z,poc-tx
TX-000088,ACC_000209,ACC_000126,2222866,IDR,IDR,2025-09-12T21:01:13.429465+00:00Z,poc-tx
TX-000089,ACC_000449,ACC_000410,1005884,IDR,IDR,2025-09-16T01:13:35.429480+00:00Z,poc-tx
TX-000090,ACC_000481,ACC_000455,3243815,IDR,IDR,2025-09-13T13:04:20.429497+00:00Z,poc-tx
TX-000091,ACC_000242,ACC_000592,441940,IDR,IDR,2025-09-12T18:56:01.429508+00:00Z,poc-tx
TX-000092,ACC_000093,ACC_000169,3823148,IDR,IDR,2025-09-10T17:06:29.429517+00:00Z,poc-tx
TX-000093,ACC_000836,ACC_000853,82878,SGD,SGD,2025-09-14T09:47:25.429590+00:00Z,poc-tx
TX-000094,ACC_000469,ACC_000772,122888,USD,USD,2025-09-14T03:25:18.429609+00:00Z,poc-tx
TX-000095,ACC_000340,ACC_000168,23256,SGD,USD,2025-09-10T02:21:17.429624+00:00Z,poc-tx
TX-000096,ACC_000465,ACC_000851,1595439,IDR,IDR,2025-09-11T16:18:26.429640+00:00Z,poc-tx
TX-000097,ACC_000511,ACC_000892,43001,SGD,USD,2025-09-12T05:49:35.429657+00:00Z,poc-tx
TX-000098,ACC_000700,ACC_000561,123017,SGD,SGD,2025-09-15T07:59:54.429683+00:00Z,poc-tx
TX-000099,ACC_000136,ACC_000807,196856,USD,IDR,2025-09-10T23:13:52.429693+00:00Z,poc-tx
TX-000100,ACC_000034,ACC_000197,139140,SGD,SGD,2025-09-15T01:48:25.429701+00:00Z,poc-tx
TX-000101,ACC_000402,ACC_000201,14873,USD,USD,2025-09-15T10:21:22.429715+00:00Z,poc-tx
TX-000102,ACC_000010,ACC_000543,20753,USD,USD,2025-09-14T04:23:45.429722+00:00Z,poc-tx
TX-000103,ACC_000352,ACC_000771,4331744,IDR,USD,2025-09-11T02:06:48.429736+00:00Z,poc-tx
TX-000104,ACC_000999,ACC_000570,4042393,IDR,IDR,2025-09-12T13:40:50.429764+00:00Z,poc-tx
TX-000105,ACC_000419,ACC_000915,79963,SGD,SGD,2025-09-14T04:44:44.429778+00:00Z,poc-tx
TX-000106,ACC_000806,ACC_000572,12925,SGD,IDR,2025-09-11T20:51:35.429801+00:00Z,poc-tx
TX-000107,ACC_000144,ACC_000890,162239,USD,USD,2025-09-13T08:41:26.429811+00:00Z,poc-tx
TX-000108,ACC_000270,ACC_000450,124117,USD,USD,2025-09-12T04:06:15.429823+00:00Z,poc-tx
TX-000109,ACC_000508,ACC_000594,33685,USD,USD,2025-09-15T18:30:51.429840+00:00Z,poc-tx
TX-000110,ACC_000790,ACC_000556,64581,USD,USD,2025-09-11T11:54:18.429862+00:00Z,poc-tx
TX-000111,ACC_000722,ACC_000553,1022175,IDR,SGD,2025-09-13T17:18:56.429883+00:00Z,poc-tx
TX-000112,ACC_000195,ACC_000336,139885,USD,USD,2025-09-15T04:05:39.429893+00:00Z,poc-tx
TX-000113,ACC_000623,ACC_000356,135560,SGD,SGD,2025-09-09T19:14:05.429912+00:00Z,poc-tx
TX-000114,ACC_000412,ACC_000241,97586,SGD,SGD,2025-09-14T08:34:42.429928+00:00Z,poc-tx
TX-000115,ACC_000475,ACC_000531,115132,SGD,SGD,2025-09-12T02:17:50.429944+00:00Z,poc-tx
TX-000116,ACC_000423,ACC_000525,128778,SGD,SGD,2025-09-11T20:55:40.429959+00:00Z,poc-tx
TX-000117,ACC_000908,ACC_000711,40545,USD,USD,2025-09-12T03:17:53.429983+00:00Z,poc-tx
TX-000118,ACC_000393,ACC_000548,6614,USD,USD,2025-09-10T06:03:21.429997+00:00Z,poc-tx
TX-000119,ACC_000331,ACC_000757,3310489,IDR,IDR,2025-09-11T14:01:14.430011+00:00Z,poc-tx
TX-000120,ACC_000447,ACC_000358,187462,USD,USD,2025-09-13T21:17:10.430027+00:00Z,poc-tx
TX-000121,ACC_000705,ACC_000656,105188,USD,USD,2025-09-09T19:57:10.430048+00:00Z,poc-tx
TX-000122,ACC_000838,ACC_000388,25081,USD,IDR,2025-09-12T12:49:09.430072+00:00Z,poc-tx
TX-000123,ACC_000950,ACC_000120,2553031,IDR,IDR,2025-09-14T20:28:18.430097+00:00Z,poc-tx
TX-000124,ACC_000678,ACC_000763,662154,IDR,SGD,2025-09-16T11:28:41.430119+00:00Z,poc-tx
TX-000125,ACC_000161,ACC_000150,73206,USD,IDR,2025-09-13T15:10:29.430129+00:00Z,poc-tx
TX-000126,ACC_000330,ACC_000593,95419,SGD,IDR,2025-09-09T19:51:14.430143+00:00Z,poc-tx
TX-000127,ACC_000536,ACC_000022,44749,USD,USD,2025-09-14T21:49:37.430161+00:00Z,poc-tx
TX-000128,ACC_000386,ACC_000878,4873428,IDR,IDR,2025-09-13T13:43:10.430175+00:00Z,poc-tx
TX-000129,ACC_000977,ACC_000943,107823,USD,USD,2025-09-11T04:10:00.430201+00:00Z,poc-tx
TX-000130,ACC_000406,ACC_000995,142052,USD,SGD,2025-09-11T00:05:40.430216+00:00Z,poc-tx
TX-000131,ACC_000037,ACC_000408,149684,SGD,SGD,2025-09-15T13:25:30.430223+00:00Z,poc-tx
TX-000132,ACC_000896,ACC_000687,98120,SGD,SGD,2025-09-14T12:00:55.430248+00:00Z,poc-tx
TX-000133,ACC_000893,ACC_000414,3110357,IDR,USD,2025-09-09T23:57:59.430273+00:00Z,poc-tx
TX-000134,ACC_000726,ACC_000969,3991539,IDR,IDR,2025-09-11T05:31:22.430295+00:00Z,poc-tx
TX-000135,ACC_000720,ACC_000062,144978,USD,IDR,2025-09-13T13:29:23.430316+00:00Z,poc-tx
TX-000136,ACC_000142,ACC_000754,2476812,IDR,IDR,2025-09-13T14:54:40.430325+00:00Z,poc-tx
TX-000137,ACC_000410,ACC_000713,51190,USD,USD,2025-09-15T22:58:46.430340+00:00Z,poc-tx
TX-000138,ACC_000084,ACC_000770,3674994,IDR,IDR,2025-09-13T22:32:11.430348+00:00Z,poc-tx
TX-000139,ACC_000123,ACC_000072,892208,IDR,IDR,2025-09-14T19:35:54.430358+00:00Z,poc-tx
TX-000140,ACC_000893,ACC_000476,612064,IDR,IDR,2025-09-13T14:22:05.430383+00:00Z,poc-tx
TX-000141,ACC_000978,ACC_000069,3361131,IDR,IDR,2025-09-15T09:02:50.430418+00:00Z,poc-tx
TX-000142,ACC_000634,ACC_000609,99066,SGD,USD,2025-09-13T14:13:32.430452+00:00Z,poc-tx
TX-000143,ACC_000230,ACC_000286,90954,SGD,USD,2025-09-12T11:09:32.430474+00:00Z,poc-tx
TX-000144,ACC_000552,ACC_000405,1488652,IDR,IDR,2025-09-14T06:56:12.430492+00:00Z,poc-tx
TX-000145,ACC_000256,ACC_000801,3915493,IDR,IDR,2025-09-11T07:48:41.430504+00:00Z,poc-tx
TX-000146,ACC_000143,ACC_000264,145522,USD,USD,2025-09-11T09:10:47.430514+00:00Z,poc-tx
TX-000147,ACC_000913,ACC_000996,1153670,IDR,IDR,2025-09-16T07:52:25.430541+00:00Z,poc-tx
TX-000148,ACC_000890,ACC_000867,701401,IDR,IDR,2025-09-11T20:40:39.430565+00:00Z,poc-tx
TX-000149,ACC_000434,ACC_000209,139009,SGD,SGD,2025-09-15T12:22:19.430580+00:00Z,poc-tx
TX-000150,ACC_000179,ACC_000152,199692,USD,USD,2025-09-16T10:10:10.430591+00:00Z,poc-tx
TX-000151,ACC_000190,ACC_000844,2388475,IDR,IDR,2025-09-11T13:25:57.430601+00:00Z,poc-tx
TX-000152,ACC_000022,ACC_000640,14358,USD,IDR,2025-09-15T17:32:55.430609+00:00Z,poc-tx
TX-000153,ACC_000470,ACC_000686,129573,SGD,SGD,2025-09-11T19:24:33.430624+00:00Z,poc-tx
TX-000154,ACC_000116,ACC_000164,1126928,IDR,IDR,2025-09-09T21:25:53.430634+00:00Z,poc-tx
TX-000155,ACC_000094,ACC_000562,68727,USD,USD,2025-09-13T03:24:47.430642+00:00Z,poc-tx
TX-000156,ACC_000684,ACC_000670,70319,USD,SGD,2025-09-15T13:13:33.430663+00:00Z,poc-tx
TX-000157,ACC_000705,ACC_000802,67385,USD,USD,2025-09-13T14:37:13.430685+00:00Z,poc-tx
TX-000158,ACC_000792,ACC_000543,84169,SGD,SGD,2025-09-11T04:53:42.430707+00:00Z,poc-tx
TX-000159,ACC_000155,ACC_000357,3967806,IDR,IDR,2025-09-11T21:27:05.430717+00:00Z,poc-tx
TX-000160,ACC_000468,ACC_000729,751485,IDR,IDR,2025-09-13T20:45:13.430732+00:00Z,poc-tx
TX-000161,ACC_000462,ACC_000838,2917850,IDR,USD,2025-09-13T15:29:28.430748+00:00Z,poc-tx
TX-000162,ACC_000108,ACC_000246,58787,SGD,SGD,2025-09-12T23:56:32.430757+00:00Z,poc-tx
TX-000163,ACC_000937,ACC_000233,3527365,IDR,IDR,2025-09-12T13:02:25.430783+00:00Z,poc-tx
TX-000164,ACC_000693,ACC_000871,86756,SGD,SGD,2025-09-12T11:10:27.430803+00:00Z,poc-tx
TX-000165,ACC_000574,ACC_000230,3476329,IDR,USD,2025-09-11T09:29:48.430821+00:00Z,poc-tx
TX-000166,ACC_000370,ACC_000041,23711,USD,IDR,2025-09-10T03:08:23.430836+00:00Z,poc-tx
TX-000167,ACC_000073,ACC_000518,3942130,IDR,IDR,2025-09-13T20:13:11.430844+00:00Z,poc-tx
TX-000168,ACC_000652,ACC_000397,120189,USD,USD,2025-09-15T18:42:48.430883+00:00Z,poc-tx
TX-000169,ACC_000253,ACC_000895,3835554,IDR,USD,2025-09-11T20:01:25.430900+00:00Z,poc-tx
TX-000170,ACC_000477,ACC_000952,130535,USD,IDR,2025-09-14T01:46:31.430917+00:00Z,poc-tx
TX-000171,ACC_000291,ACC_000419,6013,SGD,SGD,2025-09-16T04:51:25.430975+00:00Z,poc-tx
TX-000172,ACC_000394,ACC_000356,29032,USD,USD,2025-09-10T13:17:39.430990+00:00Z,poc-tx
TX-000173,ACC_000862,ACC_000319,199585,USD,USD,2025-09-10T15:36:28.431021+00:00Z,poc-tx
TX-000174,ACC_000185,ACC_000217,241331,IDR,IDR,2025-09-11T06:26:23.431037+00:00Z,poc-tx
TX-000175,ACC_000553,ACC_000560,99281,USD,SGD,2025-09-10T16:39:28.431057+00:00Z,poc-tx
TX-000176,ACC_000794,ACC_000898,197604,USD,USD,2025-09-14T03:04:23.431079+00:00Z,poc-tx
TX-000177,ACC_000562,ACC_000428,2996222,IDR,IDR,2025-09-10T15:15:24.431097+00:00Z,poc-tx
TX-000178,ACC_000725,ACC_000057,123792,SGD,USD,2025-09-12T21:37:29.431118+00:00Z,poc-tx
TX-000179,ACC_000663,ACC_000129,4516504,IDR,IDR,2025-09-16T08:09:06.431138+00:00Z,poc-tx
TX-000180,ACC_000745,ACC_000776,135944,USD,USD,2025-09-14T01:23:15.431159+00:00Z,poc-tx
TX-000181,ACC_000112,ACC_000407,4425013,IDR,USD,2025-09-14T02:47:08.431178+00:00Z,poc-tx
TX-000182,ACC_000738,ACC_000511,3873358,IDR,IDR,2025-09-12T00:36:27.431199+00:00Z,poc-tx
TX-000183,ACC_000251,ACC_000993,3415374,IDR,USD,2025-09-16T04:22:17.431211+00:00Z,poc-tx
TX-000184,ACC_000338,ACC_000421,3544,SGD,SGD,2025-09-10T23:56:01.431242+00:00Z,poc-tx
TX-000185,ACC_000230,ACC_000935,124030,SGD,SGD,2025-09-11T17:32:05.431289+00:00Z,poc-tx
TX-000186,ACC_000462,ACC_000325,4411868,IDR,SGD,2025-09-09T23:51:05.431308+00:00Z,poc-tx
TX-000187,ACC_000954,ACC_000008,3267816,IDR,IDR,2025-09-16T01:42:33.431340+00:00Z,poc-tx
TX-000188,ACC_000819,ACC_000200,1448,SGD,SGD,2025-09-16T08:03:59.431363+00:00Z,poc-tx
TX-000189,ACC_000914,ACC_000276,187848,USD,USD,2025-09-16T06:59:05.431400+00:00Z,poc-tx
TX-000190,ACC_000846,ACC_000751,533,USD,USD,2025-09-16T06:10:56.431425+00:00Z,poc-tx
TX-000191,ACC_000100,ACC_000921,124470,USD,USD,2025-09-16T11:55:29.431434+00:00Z,poc-tx
TX-000192,ACC_000048,ACC_000640,25522,SGD,IDR,2025-09-13T05:48:32.431442+00:00Z,poc-tx
TX-000193,ACC_000893,ACC_000429,553845,IDR,IDR,2025-09-11T00:10:56.431467+00:00Z,poc-tx
TX-000194,ACC_000360,ACC_000820,96838,IDR,IDR,2025-09-09T13:48:10.431485+00:00Z,poc-tx
TX-000195,ACC_000251,ACC_000945,4189612,IDR,SGD,2025-09-15T14:04:10.431510+00:00Z,poc-tx
TX-000196,ACC_000379,ACC_000863,829609,IDR,IDR,2025-09-10T12:26:07.431528+00:00Z,poc-tx
TX-000197,ACC_000267,ACC_000190,92724,USD,USD,2025-09-13T02:25:29.431541+00:00Z,poc-tx
TX-000198,ACC_000153,ACC_000666,2961670,IDR,IDR,2025-09-12T16:51:41.431551+00:00Z,poc-tx
TX-000199,ACC_000630,ACC_000912,2171500,IDR,SGD,2025-09-12T13:55:30.431571+00:00Z,poc-tx
TX-000200,ACC_000092,ACC_000589,2145684,IDR,IDR,2025-09-11T23:50:43.431579+00:00Z,poc-tx
TX-000201,ACC_000388,ACC_000217,157332,USD,IDR,2025-09-16T04:15:31.431594+00:00Z,poc-tx
TX-000202,ACC_000813,ACC_000209,2824962,IDR,IDR,2025-09-09T19:32:56.431620+00:00Z,poc-tx
TX-000203,ACC_000524,ACC_000604,83750,SGD,IDR,2025-09-12T20:38:10.431643+00:00Z,poc-tx
TX-000204,ACC_000108,ACC_000711,19046,SGD,IDR,2025-09-13T18:53:22.431652+00:00Z,poc-tx
TX-000205,ACC_000709,ACC_000723,77911,SGD,SGD,2025-09-14T20:49:05.431672+00:00Z,poc-tx
TX-000206,ACC_000898,ACC_000932,101888,SGD,SGD,2025-09-10T02:42:20.431697+00:00Z,poc-tx
TX-000207,ACC_000165,ACC_000882,62471,USD,USD,2025-09-16T01:46:59.431706+00:00Z,poc-tx
TX-000208,ACC_000679,ACC_000989,787586,IDR,IDR,2025-09-16T09:30:11.431727+00:00Z,poc-tx
TX-000209,ACC_000669,ACC_000130,58047,USD,IDR,2025-09-11T12:09:37.431747+00:00Z,poc-tx
TX-000210,ACC_000588,ACC_000712,108498,USD,USD,2025-09-09T22:36:43.431766+00:00Z,poc-tx
TX-000211,ACC_000178,ACC_000907,52367,USD,USD,2025-09-10T12:39:30.431776+00:00Z,poc-tx
TX-000212,ACC_000673,ACC_000001,4775769,IDR,IDR,2025-09-10T09:58:35.431796+00:00Z,poc-tx
TX-000213,ACC_000767,ACC_000338,3783962,IDR,IDR,2025-09-15T16:16:55.431818+00:00Z,poc-tx
TX-000214,ACC_000393,ACC_000069,130141,USD,USD,2025-09-15T01:36:03.431833+00:00Z,poc-tx
TX-000215,ACC_000471,ACC_000949,3328398,IDR,IDR,2025-09-10T01:06:28.431849+00:00Z,poc-tx
TX-000216,ACC_000736,ACC_000533,3152681,IDR,IDR,2025-09-11T06:18:25.431870+00:00Z,poc-tx
TX-000217,ACC_000662,ACC_000189,140588,SGD,SGD,2025-09-10T08:54:35.431889+00:00Z,poc-tx
TX-000218,ACC_000488,ACC_000275,24115,SGD,USD,2025-09-13T16:00:43.431906+00:00Z,poc-tx
TX-000219,ACC_000899,ACC_000943,45748,SGD,IDR,2025-09-12T18:06:30.431931+00:00Z,poc-tx
TX-000220,ACC_000410,ACC_000071,113626,USD,USD,2025-09-12T16:33:57.431946+00:00Z,poc-tx
TX-000221,ACC_000310,ACC_000609,4092282,IDR,SGD,2025-09-15T12:37:28.431959+00:00Z,poc-tx
TX-000222,ACC_000452,ACC_000799,92459,SGD,SGD,2025-09-13T10:17:40.431976+00:00Z,poc-tx
TX-000223,ACC_000660,ACC_000718,95206,SGD,SGD,2025-09-12T03:01:41.431995+00:00Z,poc-tx
TX-000224,ACC_000955,ACC_000198,652125,IDR,IDR,2025-09-12T11:19:39.432020+00:00Z,poc-tx
TX-000225,ACC_000876,ACC_000074,96285,SGD,SGD,2025-09-09T23:05:46.432044+00:00Z,poc-tx
TX-000226,ACC_000903,ACC_000771,137174,SGD,SGD,2025-09-13T18:06:21.432069+00:00Z,poc-tx
TX-000227,ACC_000155,ACC_000097,3513472,IDR,USD,2025-09-10T19:02:11.432079+00:00Z,poc-tx
TX-000228,ACC_000828,ACC_000041,87524,SGD,SGD,2025-09-12T04:09:24.432102+00:00Z,poc-tx
TX-000229,ACC_000403,ACC_000856,4947164,IDR,IDR,2025-09-10T15:08:58.432116+00:00Z,poc-tx
TX-000230,ACC_000131,ACC_000443,140996,SGD,SGD,2025-09-10T07:36:04.432126+00:00Z,poc-tx
TX-000231,ACC_000699,ACC_000898,84242,USD,USD,2025-09-13T00:04:56.432146+00:00Z,poc-tx
TX-000232,ACC_000762,ACC_000908,43262,SGD,IDR,2025-09-15T21:52:52.432168+00:00Z,poc-tx
TX-000233,ACC_000345,ACC_000565,191248,USD,SGD,2025-09-12T07:47:23.432182+00:00Z,poc-tx
TX-000234,ACC_000106,ACC_000741,4964839,IDR,USD,2025-09-14T20:03:45.432191+00:00Z,poc-tx
TX-000235,ACC_000637,ACC_000268,22118,USD,IDR,2025-09-11T09:44:50.432211+00:00Z,poc-tx
TX-000236,ACC_000964,ACC_000941,3825177,IDR,IDR,2025-09-10T18:19:12.432236+00:00Z,poc-tx
TX-000237,ACC_000167,ACC_000687,112085,SGD,SGD,2025-09-14T15:45:32.432246+00:00Z,poc-tx
